City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Kodiak,US,2021-04-13 06:47:19,57.79,-152.4072,37.4,75,40,5.75
98,Mecca,SA,2021-04-13 06:45:31,21.4267,39.8261,82.49,35,14,5.21
99,Khatanga,RU,2021-04-13 06:47:19,71.9667,102.5,25.52,86,97,12.17
100,Kaitangata,NZ,2021-04-13 06:47:20,-46.2817,169.8464,57.99,85,100,8.01
101,Amapa,BR,2021-04-13 06:47:20,1.0,-52.0,70.39,99,85,1.41
102,Aberdeen,GB,2021-04-13 06:42:55,57.1437,-2.0981,33.01,86,16,5.75
103,Ulladulla,AU,2021-04-13 06:47:21,-35.35,150.4667,66.99,52,0,11.5
104,Cascais,PT,2021-04-13 06:47:21,38.6979,-9.4215,59.0,88,75,3.44
105,Willemstad,CW,2021-04-13 06:47:22,12.1084,-68.9335,78.8,89,20,12.66
106,Maneadero,MX,2021-04-13 06:47:22,31.7167,-116.5667,57.99,80,68,2.13
107,Saint George,US,2021-04-13 06:43:31,37.1041,-113.5841,64.4,13,1,11.5
108,Guanica,PR,2021-04-13 06:47:23,17.9716,-66.908,75.99,84,100,6.73
109,Urumqi,CN,2021-04-13 06:47:23,43.801,87.6005,68.0,13,0,11.18
110,Airai,TL,2021-04-13 06:47:24,-8.9266,125.4092,70.43,69,52,2.48
111,Thompson,CA,2021-04-13 06:47:24,55.7435,-97.8558,19.4,58,90,12.66
112,Gbadolite,CD,2021-04-13 06:47:24,4.2833,21.0167,71.73,94,100,5.06
113,Tual,ID,2021-04-13 06:47:24,-5.6667,132.75,84.07,70,100,9.91
114,Gondanglegi,ID,2021-04-13 06:47:25,-7.7479,112.0132,87.76,63,16,3.87
115,Champerico,GT,2021-04-13 06:47:25,14.3,-91.9167,68.0,94,70,1.01
116,Nikolskoye,RU,2021-04-13 06:47:25,59.7035,30.7861,53.01,50,0,6.71
117,Raton,US,2021-04-13 06:47:26,36.9034,-104.4391,33.8,47,1,9.22
118,Visby,SE,2021-04-13 06:47:26,57.6409,18.296,41.0,75,0,13.8
119,Kawambwa,ZM,2021-04-13 06:47:27,-9.7915,29.0791,63.79,91,100,6.73
120,Naze,JP,2021-04-13 06:43:34,28.3667,129.4833,71.6,88,75,9.22
121,Maceio,BR,2021-04-13 06:44:08,-9.6658,-35.7353,73.4,100,75,3.44
122,Stadskanaal,NL,2021-04-13 06:47:27,52.9833,6.95,39.0,87,6,4.0
123,Sungaipenuh,ID,2021-04-13 06:47:27,-2.0833,101.3833,74.7,78,94,3.6
124,Cockburn Town,TC,2021-04-13 06:43:09,21.4612,-71.1419,76.15,73,0,5.21
125,Bodden Town,KY,2021-04-13 06:47:28,19.2833,-81.25,78.01,1,14,5.57
126,Mirnyy,RU,2021-04-13 06:47:28,62.5353,113.9611,31.53,88,100,12.17
